state_fips,state_abbr,zcta,cd
02,AK,99721,0
02,AK,99722,0
02,AK,99723,0
02,AK,99724,0
02,AK,99726,0
02,AK,99727,0
02,AK,99729,0
02,AK,99730,0
02,AK,99732,0
02,AK,99733,0
02,AK,99734,0
02,AK,99736,0
02,AK,99737,0
02,AK,99738,0
02,AK,99739,0
02,AK,99740,0
02,AK,99741,0
02,AK,99742,0
02,AK,99743,0
02,AK,99744,0
02,AK,99745,0
02,AK,99746,0
02,AK,99747,0
02,AK,99748,0
02,AK,99749,0
02,AK,99750,0
02,AK,99751,0
02,AK,99752,0
02,AK,99753,0
02,AK,99754,0
02,AK,99755,0
02,AK,99756,0
02,AK,99757,0
02,AK,99758,0
02,AK,99759,0
02,AK,99760,0
02,AK,99761,0
02,AK,99762,0
02,AK,99763,0
02,AK,99764,0
02,AK,99765,0
02,AK,99766,0
02,AK,99767,0
02,AK,99768,0
02,AK,99769,0
02,AK,99770,0
02,AK,99771,0
02,AK,99772,0
02,AK,99773,0
02,AK,99774,0
02,AK,99775,0
02,AK,99776,0
02,AK,99777,0
02,AK,99778,0
02,AK,99780,0
02,AK,99781,0
02,AK,99782,0
02,AK,99783,0
02,AK,99784,0
02,AK,99785,0
02,AK,99786,0
02,AK,99788,0
02,AK,99789,0
02,AK,99790,0
02,AK,99791,0
02,AK,99801,0
02,AK,99820,0
02,AK,99824,0
02,AK,99825,0
02,AK,99826,0
02,AK,99827,0
02,AK,99829,0
02,AK,99830,0
02,AK,99832,0
02,AK,99833,0
02,AK,99835,0
02,AK,99836,0
02,AK,99840,0
02,AK,99841,0
02,AK,99901,0
02,AK,99903,0
02,AK,99918,0
02,AK,99919,0
02,AK,99921,0
02,AK,99922,0
02,AK,99923,0
02,AK,99925,0
02,AK,99926,0
02,AK,99927,0
02,AK,99929,0
02,AK,99950,0
04,AZ,84531,1
04,AZ,84536,1
04,AZ,85001,7
04,AZ,85002,7
04,AZ,85003,7
04,AZ,85004,7
04,AZ,85006,7
04,AZ,85007,7
04,AZ,85008,7
04,AZ,85008,9
04,AZ,85009,7
04,AZ,85012,7
04,AZ,85012,9
04,AZ,85013,7
04,AZ,85013,9
04,AZ,85014,7
04,AZ,85014,9
04,AZ,85015,7
04,AZ,85016,6
04,AZ,85016,7
04,AZ,85016,9
04,AZ,85017,7
04,AZ,85018,6
04,AZ,85018,7
04,AZ,85018,9
04,AZ,85019,7
04,AZ,85020,6
04,AZ,85020,9
04,AZ,85021,6
04,AZ,85021,7
04,AZ,85021,9
04,AZ,85022,6
04,AZ,85023,6
04,AZ,85024,6
04,AZ,85027,6
04,AZ,85028,6
04,AZ,85029,6
04,AZ,85031,7
04,AZ,85032,6
04,AZ,85033,3
04,AZ,85033,7
04,AZ,85034,7
04,AZ,85034,9
04,AZ,85035,7
04,AZ,85037,3
04,AZ,85037,7
04,AZ,85037,8
04,AZ,85040,7
04,AZ,85040,9
04,AZ,85041,7
04,AZ,85042,7
04,AZ,85043,3
04,AZ,85043,7
04,AZ,85044,7
04,AZ,85044,9
04,AZ,85045,9
04,AZ,85048,7
04,AZ,85048,9
04,AZ,85050,6
04,AZ,85051,6
04,AZ,85051,7
04,AZ,85051,9
04,AZ,85053,6
04,AZ,85054,6
04,AZ,85083,6
04,AZ,85083,8
04,AZ,85085,6
04,AZ,85085,8
04,AZ,85086,6
04,AZ,85086,8
04,AZ,85087,4
04,AZ,85087,6
04,AZ,85087,8
04,AZ,85118,4
04,AZ,85119,4
04,AZ,85120,4
04,AZ,85120,5
04,AZ,85121,1
04,AZ,85122,1
04,AZ,85123,1
04,AZ,85123,3
04,AZ,85128,1
04,AZ,85128,4
04,AZ,85131,1
04,AZ,85132,1
04,AZ,85132,4
04,AZ,85135,1
04,AZ,85137,1
04,AZ,85137,4
04,AZ,85138,1
04,AZ,85139,1
04,AZ,85139,3
04,AZ,85140,4
04,AZ,85141,1
04,AZ,85142,4
04,AZ,85142,5
04,AZ,85143,4
04,AZ,85145,1
04,AZ,85147,1
04,AZ,85172,1
04,AZ,85173,1
04,AZ,85173,4
04,AZ,85192,1
04,AZ,85193,1
04,AZ,85193,3
04,AZ,85194,1
04,AZ,85201,5
04,AZ,85201,6
04,AZ,85201,9
04,AZ,85202,9
04,AZ,85203,5
04,AZ,85203,6
04,AZ,85203,9
04,AZ,85204,5
04,AZ,85204,9
04,AZ,85205,5
04,AZ,85206,5
04,AZ,85207,4
04,AZ,85207,5
04,AZ,85208,5
04,AZ,85209,5
04,AZ,85210,5
04,AZ,85210,9
04,AZ,85212,5
04,AZ,85213,5
04,AZ,85215,4
04,AZ,85215,5
04,AZ,85215,6
04,AZ,85224,5
04,AZ,85224,9
04,AZ,85225,5
04,AZ,85225,9
04,AZ,85226,1
04,AZ,85226,9
04,AZ,85233,5
04,AZ,85233,9
04,AZ,85234,5
04,AZ,85248,1
04,AZ,85248,5
04,AZ,85249,5
04,AZ,85250,6
04,AZ,85251,6
04,AZ,85251,9
04,AZ,85253,6
04,AZ,85253,9
04,AZ,85254,6
04,AZ,85255,6
04,AZ,85256,6
04,AZ,85256,9
04,AZ,85257,6
04,AZ,85257,9
04,AZ,85258,6
04,AZ,85259,6
04,AZ,85260,6
04,AZ,85262,4
04,AZ,85262,6
04,AZ,85263,4
04,AZ,85263,6
04,AZ,85264,4
04,AZ,85264,6
04,AZ,85266,6
04,AZ,85268,6
04,AZ,85281,6
04,AZ,85281,7
04,AZ,85281,9
04,AZ,85282,7
04,AZ,85282,9
04,AZ,85283,7
04,AZ,85283,9
04,AZ,85284,9
04,AZ,85286,5
04,AZ,85295,5
04,AZ,85296,5
04,AZ,85297,5
04,AZ,85298,5
04,AZ,85301,6
04,AZ,85301,7
04,AZ,85301,8
04,AZ,85302,6
04,AZ,85302,8
04,AZ,85303,7
04,AZ,85303,8
04,AZ,85304,8
04,AZ,85305,3
04,AZ,85305,7
04,AZ,85305,8
04,AZ,85306,8
04,AZ,85307,3
04,AZ,85307,8
04,AZ,85308,6
04,AZ,85308,8
04,AZ,85309,8
04,AZ,85310,6
04,AZ,85310,8
04,AZ,85320,4
04,AZ,85321,3
04,AZ,85322,3
04,AZ,85323,3
04,AZ,85323,7
04,AZ,85323,8
04,AZ,85324,4
04,AZ,85325,4
04,AZ,85326,3
04,AZ,85326,4
04,AZ,85328,4
04,AZ,85331,4
04,AZ,85331,6
04,AZ,85331,8
04,AZ,85332,4
04,AZ,85333,3
04,AZ,85333,4
04,AZ,85334,4
04,AZ,85335,8
04,AZ,85336,3
04,AZ,85337,3
04,AZ,85338,3
04,AZ,85338,8
04,AZ,85339,1
04,AZ,85339,3
04,AZ,85339,7
04,AZ,85340,3
04,AZ,85340,4
04,AZ,85340,8
04,AZ,85341,3
04,AZ,85342,4
04,AZ,85342,8
04,AZ,85343,3
04,AZ,85344,4
04,AZ,85345,8
04,AZ,85346,4
04,AZ,85347,3
04,AZ,85347,4
04,AZ,85348,4
04,AZ,85349,3
04,AZ,85350,3
04,AZ,85351,8
04,AZ,85352,4
04,AZ,85353,3
04,AZ,85353,7
04,AZ,85354,3
04,AZ,85354,4
04,AZ,85355,4
04,AZ,85355,8
04,AZ,85356,4
04,AZ,85357,4
04,AZ,85360,4
04,AZ,85361,4
04,AZ,85361,8
04,AZ,85362,4
04,AZ,85363,8
04,AZ,85364,3
04,AZ,85364,4
04,AZ,85365,3
04,AZ,85365,4
04,AZ,85367,4
04,AZ,85371,4
04,AZ,85373,8
04,AZ,85374,8
04,AZ,85375,8
04,AZ,85377,6
04,AZ,85379,8
04,AZ,85381,8
04,AZ,85382,8
04,AZ,85383,4
04,AZ,85383,8
04,AZ,85387,4
04,AZ,85387,8
04,AZ,85388,4
04,AZ,85388,8
04,AZ,85390,4
04,AZ,85392,3
04,AZ,85392,8
04,AZ,85395,3
04,AZ,85395,8
04,AZ,85396,3
04,AZ,85396,4
04,AZ,85396,8
04,AZ,85501,1
04,AZ,85501,4
04,AZ,85530,1
04,AZ,85531,1
04,AZ,85533,1
04,AZ,85534,1
04,AZ,85535,1
04,AZ,85536,1
04,AZ,85539,1
04,AZ,85539,4
04,AZ,85540,1
04,AZ,85541,4
04,AZ,85542,1
04,AZ,85543,1
04,AZ,85544,4
04,AZ,85545,1
04,AZ,85545,4
04,AZ,85546,1
04,AZ,85550,1
04,AZ,85551,1
04,AZ,85552,1
04,AZ,85553,1
04,AZ,85553,4
04,AZ,85554,1
04,AZ,85554,4
04,AZ,85601,3
04,AZ,85602,2
04,AZ,85603,2
04,AZ,85605,2
04,AZ,85606,2
04,AZ,85607,2
04,AZ,85608,2
04,AZ,85609,2
04,AZ,85610,2
04,AZ,85611,2
04,AZ,85611,3
04,AZ,85613,2
04,AZ,85614,2
04,AZ,85615,2
04,AZ,85616,2
04,AZ,85617,2
04,AZ,85618,1
04,AZ,85619,1
04,AZ,85619,2
04,AZ,85620,2
04,AZ,85621,3
04,AZ,85622,2
04,AZ,85622,3
04,AZ,85623,1
04,AZ,85624,3
04,AZ,85625,2
04,AZ,85626,2
04,AZ,85627,2
04,AZ,85629,2
04,AZ,85629,3
04,AZ,85630,2
04,AZ,85631,1
04,AZ,85632,2
